Home Team,Away Team,Venue,Match Week,Date,Overall Score,Rubbers,Home Score,Away Score,Home Games Won,Away Games Won
Xavier,Royal Hong Kong Yacht Club 10,Cornwall Street (CSPSC),3,23/10/2017,4-1,"['3-0', '3-0', '3-0', '1-3', '3-1']",4,1,13,4
Head Shatin 3,Hong Kong Football Club 10B,Cornwall Street (CSPSC),3,23/10/2017,2-3,"['0-3', '3-0', '1-3', '3-0', '2-3']",2,3,9,9
Hong Kong Football Club 10A,Friend Club 5,Hong Kong Football Club (HKFC),3,23/10/2017,1-4,"['1-3', '1-3', '3-1', '0-3', '2-3']",1,4,7,13
Tuen Mun Squash Club 1,The Hong Kong Jockey Club,Tuen Mun Butterfly Beach (TMBBSC),3,23/10/2017,1-4,"['0-3', '1-3', '0-3', '0-3', '3-2']",1,4,4,14
Head Shatin 3,Hong Kong Football Club 10A,Cornwall Street (CSPSC),4,30/10/2017,3-2,"['3-0', '3-0', '0-3', '3-1', '0-3']",3,2,9,7
Hong Kong Football Club 10B,The Hong Kong Jockey Club,Hong Kong Football Club (HKFC),4,30/10/2017,1-4,"['0-3', '3-0', '0-3', '0-3', '2-3']",1,4,5,12
Friend Club 5,The Zero Squash Club 2,Cornwall Street (CSPSC),4,30/10/2017,3-2,"['3-0', '3-2', '3-2', '2-3', '0-3']",3,2,11,10
Tuen Mun Squash Club 1,Xavier,Tuen Mun Butterfly Beach (TMBBSC),4,30/10/2017,2-3,"['1-3', '0-3', '3-1', '0-3', '3-0']",2,3,7,10
Royal Hong Kong Yacht Club 10,ISRC United 2,Royal Hong Kong Yacht Club (RHKYC),4,30/10/2017,3-2,"['0-3', '3-0', '1-3', '3-0', '3-0']",3,2,10,6
ISRC United 2,Tuen Mun Squash Club 1,HK Squash Centre (HKSC),5,06/11/2017,1-4,"['3-1', '2-3', '2-3', '0-3', '0-3']",1,4,7,13
Head Shatin 3,Friend Club 5,Cornwall Street (CSPSC),5,06/11/2017,4-1,"['0-3', '3-1', '3-1', '3-0', '3-0']",4,1,12,5
Xavier,Hong Kong Football Club 10B,Cornwall Street (CSPSC),5,06/11/2017,3-2,"['1-3', '3-2', '3-2', '1-3', '3-2']",3,2,11,12
The Zero Squash Club 2,Royal Hong Kong Yacht Club 10,Cornwall Street (CSPSC),5,06/11/2017,5-0,"['3-1', '3-0', '3-1', '3-0', '3-0']",5,0,15,2
Hong Kong Football Club 10A,The Hong Kong Jockey Club,Hong Kong Football Club (HKFC),5,06/11/2017,1-4,"['0-3', '3-2', '1-3', '0-3', '2-3']",1,4,6,14
Hong Kong Football Club 10B,ISRC United 2,Hong Kong Football Club (HKFC),6,20/11/2017,4-1,"['0-3', '3-1', '3-0', '3-0', '3-0']",4,1,12,4
Friend Club 5,Royal Hong Kong Yacht Club 10,Cornwall Street (CSPSC),6,20/11/2017,0-5,"['0-3', '0-3', '1-3', '1-3', '0-3']",0,5,2,15
The Hong Kong Jockey Club,Head Shatin 3,HKJC Sha Tin Club House (HKJC),6,20/11/2017,2-3,"['2-3', '0-3', '3-2', '3-1', '0-3']",2,3,8,12
Tuen Mun Squash Club 1,The Zero Squash Club 2,Tuen Mun Butterfly Beach (TMBBSC),6,20/11/2017,2-3,"['0-3', '3-1', '2-3', '3-0', '1-3']",2,3,9,10
Xavier,Hong Kong Football Club 10A,Cornwall Street (CSPSC),6,20/11/2017,1-4,"['1-3', '0-3', '3-1', '1-3', '0-3']",1,4,5,13
Hong Kong Football Club 10A,ISRC United 2,Hong Kong Football Club (HKFC),7,27/11/2017,4-1,"['1-3', '3-0', '3-0', '3-0', '3-1']",4,1,13,4
