Team,Played,Won,Lost,Points,Division,Season,Rank,Rubbers For,Rubbers Against
Happy Squash 3,3,1,2,7,8B,2024-2025,6,6.0,9.0
Happy Squash 3,7,4,3,24,19B,2021-2022,5,,
Happy Squash 3,18,13,5,70,17B,2022-2023,2,,
Happy Squash 4,3,0,3,1,13B,2024-2025,12,1.0,14.0
Happy Squash Maru,10,10,0,49,12B,2021-2022,1,,
Happy Squash Zang Bong,11,4,7,31,4,2021-2022,6,,
Head Sha Tin 1,20,8,12,53,4,2018-2019,5,,
Head Sha Tin 2,18,6,12,46,6,2018-2019,6,,
Head Sha Tin 3,20,14,6,81,8,2018-2019,3,,
Head Sha Tin 4,21,13,8,76,11A,2018-2019,4,,
Head Sha Tin 5,22,13,9,74,16,2018-2019,6,,
Head Sha Tin 6,22,14,8,86,18,2018-2019,3,,
Head Sha Tin 7,18,11,7,60,19B,2018-2019,5,,
Head Shatin 1,16,9,7,59,4,2016-2017,5,,
Head Shatin 1,18,5,13,23,4,2017-2018,9,,
Head Shatin 2,20,12,8,67,6,2016-2017,5,,
Head Shatin 2,16,7,9,41,5,2017-2018,6,,
Head Shatin 3,18,5,13,34,8B,2016-2017,5,,
Head Shatin 3,18,16,2,85,10,2017-2018,1,,
Head Shatin 4,22,22,0,116,11,2017-2018,1,,
Head Shatin 4,21,10,11,39,9,2016-2017,6,,
Head Shatin 5,18,2,16,23,12B,2016-2017,7,,
Head Shatin 5,18,8,10,50,15B,2017-2018,5,,
Head Shatin 6,16,11,5,62,17A,2016-2017,4,,
Head Shatin 6,18,8,10,47,17A,2017-2018,7,,
Head Shatin 7,18,9,9,59,18A,2016-2017,3,,
Head Shatin 7,22,19,3,108,19,2017-2018,2,,
Honey Badger 1,21,14,7,76,11A,2018-2019,3,,
Honey Badger 1,9,8,1,42,11,2019-2020,2,,
Honey Badger 2,21,3,18,10,13A,2018-2019,8,,
Honey Badger SC 1,21,20,1,96,9,2016-2017,1,,
Honey Badger SC 2,20,15,5,76,13,2016-2017,4,,
Honey Badger SC 3,19,1,18,5,13,2016-2017,11,,
Honey Badgers 1,16,8,8,38,8,2017-2018,6,,
Honey Badgers 2,18,10,8,47,13,2017-2018,7,,
Hong Kong Club Blue,18,1,17,6,M4,2022-2023,7,,
Hong Kong Club Blue,4,1,3,7,M4,2024-2025,7,6.0,14.0
Hong Kong Club Blue,16,5,11,30,M3,2023-2024,7,,
Hong Kong Club Blue,16,2,14,13,M4,2017-2018,9,,
Hong Kong Club Gold,11,4,7,19,M1,2019-2020,5,,
Hong Kong Cricket Club 1,18,13,5,68,3,2017-2018,1,,
Hong Kong Cricket Club 1,16,10,6,64,4,2016-2017,3,,
Hong Kong Cricket Club 1,9,1,8,16,2,2021-2022,5,,
Hong Kong Cricket Club 1,16,7,9,47,2,2022-2023,3,,
Hong Kong Cricket Club 1,3,3,0,9,Premier Main,2024-2025,2,6.0,3.0
Hong Kong Cricket Club 1,20,11,9,41,1,2018-2019,3,,
Hong Kong Cricket Club 1,8,4,4,15,1,2023-2024,3,,
Hong Kong Cricket Club 10,9,9,0,40,10,2019-2020,1,,
Hong Kong Cricket Club 12,10,7,3,42,12A,2019-2020,2,,
Hong Kong Cricket Club 17,11,9,2,49,17A,2019-2020,2,,
Hong Kong Cricket Club 19,7,5,2,28,19B,2019-2020,3,,
Hong Kong Cricket Club 2,20,8,12,51,6,2016-2017,8,,
Hong Kong Cricket Club 2,18,9,9,53,4,2017-2018,6,,
Hong Kong Cricket Club 2,16,2,14,24,2,2023-2024,5,,
