Team,Played,Won,Lost,Points,Division,Season,Rank,Rubbers For,Rubbers Against
Sovereign Group LRC Master,18,4,14,33,M2,2018-2019,6,,
Sovereign Group LRC Master 1,21,8,13,50,M1,2016-2017,5,,
Sovereign Group LRC Master 3,21,14,7,71,M3,2016-2017,4,,
Spaghetti,11,4,7,21,17A,2019-2020,6,,
Spark 1,16,11,5,61,5,2018-2019,3,,
Spark 1,9,3,6,21,4,2019-2020,7,,
Spark 2,22,11,11,61,7,2018-2019,7,,
Spark 2,11,5,6,32,7,2019-2020,4,,
Spark 3,8,1,7,12,12A,2019-2020,9,,
Spark 3,18,11,7,68,12B,2018-2019,2,,
Spark 4,9,7,2,38,18,2019-2020,3,,
Spark 4,22,9,13,56,18,2018-2019,8,,
Spark 5,8,3,5,20,19B,2019-2020,5,,
Spark 5,21,6,15,33,19A,2018-2019,7,,
Spirit 1,18,8,10,48,3,2017-2018,5,,
Spirit 1,21,8,13,50,3,2016-2017,6,,
Spirit 2,21,14,7,68,7B,2016-2017,4,,
Spirit 2,18,18,0,88,7B,2017-2018,1,,
Spirit 3,18,11,7,53,12B,2016-2017,5,,
Spirit 3,16,15,1,89,12A,2017-2018,1,,
Spirit 4,18,15,3,74,18A,2016-2017,1,,
Spirit 4,18,8,10,56,17A,2017-2018,5,,
Spirit 5,16,2,14,-2,19,2016-2017,6,,
Spirit 5,22,6,16,25,18,2017-2018,10,,
Sprouts,22,12,10,68,18,2017-2018,6,,
Sprouts,18,10,8,57,18B,2016-2017,3,,
Squash-On,4,3,1,14,15B,2024-2025,3,11.0,9.0
Squashaholic,22,4,18,38,15,2016-2017,10,,
Squashaholic,10,0,10,0,12B,2021-2022,9,,
Squashathon,18,3,15,25,5,2022-2023,9,,
Squashathon,3,1,2,6,5,2024-2025,8,6.0,9.0
Squashathon,11,2,9,18,6,2021-2022,6,,
Squashathon,16,1,15,11,5,2023-2024,9,,
Squashathon,21,6,15,38,17A,2018-2019,6,,
Squashathon 1,9,7,2,42,17A,2021-2022,2,,
Squashathon 1,18,12,6,72,17B,2023-2024,2,,
Squashathon 1,18,10,8,51,17A,2022-2023,4,,
Squashathon 2,22,10,12,59,19,2023-2024,6,,
Squashathon MeGa,4,2,2,10,15B,2024-2025,5,8.0,12.0
Squashathon One,3,1,2,8,15A,2024-2025,5,7.0,8.0
Squashathon PLZ,3,2,1,11,13A,2024-2025,3,9.0,6.0
Squashathon Zero,11,2,9,22,7,2019-2020,9,,
Squashathon Zero,21,16,5,92,12A,2023-2024,2,,
Squashathon Zero,9,8,1,41,12A,2021-2022,2,,
Squashathon Zero,18,14,4,80,12A,2022-2023,2,,
Squashathon Zero,2,0,2,4,8A,2024-2025,7,4.0,6.0
Squashthon,10,5,5,31,17B,2019-2020,5,,
Star River 1,20,4,16,36,8,2018-2019,9,,
Star River 1,4,2,2,12,11,2024-2025,6,10.0,10.0
Star River 1,10,5,5,35,15A,2021-2022,2,,
Star River 1,21,13,8,63,14,2023-2024,5,,
Star River 1,20,18,2,97,14,2022-2023,1,,
Star River 1,21,10,11,62,9,2016-2017,5,,
Star River 1,20,10,10,54,9,2017-2018,3,,
Star River 1,8,4,4,23,9,2019-2020,5,,
Star River 2,22,11,11,69,16,2023-2024,7,,
Star River 2,5,4,1,17,12,2024-2025,6,13.0,12.0
Star River 2,10,3,7,22,15B,2021-2022,6,,
Star River 2,21,7,14,51,13B,2018-2019,6,,
Star River 2,22,3,19,39,11,2017-2018,11,,
Star River 2,10,2,8,25,13A,2019-2020,8,,
Star River 2,18,7,11,43,15B,2022-2023,6,,
Star River 2,20,11,9,64,13,2016-2017,5,,
Star River 3,22,11,11,65,15,2018-2019,6,,
Star River 3,20,10,10,59,16,2022-2023,7,,
Star River 3,10,2,8,15,15,2019-2020,8,,
Star River 3,22,15,7,85,15,2016-2017,3,,
Star River 3,21,11,10,64,12B,2017-2018,5,,
Star River 3,3,1,2,7,13A,2024-2025,9,6.0,9.0
Star River 4,10,2,8,12,16,2019-2020,10,,
Star River 4,22,7,15,43,16,2018-2019,8,,
Star River 4,18,13,5,64,13,2017-2018,2,,
Star River 5,18,15,3,82,16,2017-2018,2,,
Striking Killers,21,11,10,65,15A,2017-2018,4,,
Striving,16,6,10,31,17B,2016-2017,7,,
Striving Squash,3,1,2,7,8A,2024-2025,5,6.0,9.0
Studio Pro,21,6,15,49,11A,2018-2019,6,,
Studio Pro,22,11,11,60,11,2017-2018,6,,
Studio Pro,21,5,16,35,12A,2023-2024,8,,
Studio Pro,16,6,10,35,12B,2022-2023,8,,
Studio Pro,11,8,3,44,12B,2019-2020,2,,
Studio Pro,10,5,5,32,12A,2021-2022,5,,
Sun Baby,22,5,17,42,18,2018-2019,9,,
Super 8,22,20,2,103,10,2018-2019,1,,
TFST,10,0,10,16,11,2019-2020,11,,
TNG 1,18,11,7,65,12B,2023-2024,4,,
TNG 1,9,4,5,20,5,2019-2020,8,,
TNG 1,10,9,1,48,4,2021-2022,2,,
TNG 1,3,2,1,10,13A,2024-2025,5,8.0,7.0
TNG 1,21,5,16,15,4,2022-2023,8,,
TNG 2,3,3,0,15,13A,2024-2025,1,12.0,3.0
TNG 2,11,6,5,38,12B,2019-2020,3,,
TNG 2,16,6,10,40,7,2022-2023,6,,
TNG 2,22,10,12,55,15,2023-2024,8,,
TNG 2,11,6,5,36,7,2021-2022,4,,
TNG 3,11,3,8,19,17B,2021-2022,7,,
TNG 3,18,7,11,45,12A,2022-2023,7,,
TNG 3,9,1,8,10,18,2019-2020,9,,
TNG 3,4,1,3,8,15B,2024-2025,7,7.0,13.0
TNG 3,22,19,3,94,19,2023-2024,2,,
TNG 4,9,7,2,34,19A,2019-2020,2,,
TNG 4,6,5,1,23,19A,2021-2022,3,,
TNG 4,18,13,5,66,17A,2022-2023,3,,
TNG 5,18,4,14,29,17B,2022-2023,7,,
TNG 5,7,5,2,25,19B,2021-2022,3,,
TNGX,20,9,11,51,4,2023-2024,4,,
TNGX,3,1,2,7,3,2024-2025,6,6.0,9.0
TNGX,9,3,6,25,4,2019-2020,6,,
TOMCAT,10,7,3,40,12A,2021-2022,3,,
TOMCAT,3,0,3,4,8A,2024-2025,6,4.0,11.0
TOMCAT,18,4,14,35,11,2023-2024,6,,
TOMCAT,11,8,3,45,12B,2019-2020,1,,
TOMCAT,16,11,5,61,12B,2022-2023,2,,
TPSG,18,11,7,68,18B,2016-2017,2,,
TSC,18,8,10,53,8,2022-2023,6,,
TSC - Asymmetry,12,1,11,20,8,2021-2022,7,,
Target,6,0,6,1,9,2019-2020,9,,
Target,20,0,20,3,8,2018-2019,11,,
Target,16,3,13,22,8,2017-2018,8,,
Team Daphne,15,11,4,40,L1,2016-2017,2,,
That's 1,18,15,3,82,4,2017-2018,2,,
That's 2,16,9,7,55,5,2017-2018,5,,
That's 3,21,10,11,64,6,2017-2018,3,,
That's 4,18,3,15,18,7A,2017-2018,10,,
That's 5,22,19,3,108,19,2017-2018,3,,
The 8 Virtues,22,7,15,46,19,2023-2024,8,,
The Best Group,16,5,11,33,10,2023-2024,7,,
The Best Group 1,4,1,3,8,7A,2024-2025,6,7.0,13.0
The Best Group 2,5,2,3,11,9,2024-2025,6,9.0,16.0
The Expendables,10,9,1,38,M1,2019-2020,1,,
The HK Club Blue,10,2,8,15,M4,2021-2022,10,,
The Hong Kong Club Blue,11,4,7,25,M4,2019-2020,6,,
The Hong Kong Jockey Club,18,7,11,52,M3,2017-2018,5,,
The Hong Kong Jockey Club,21,6,15,38,10,2016-2017,7,,
The Hong Kong Jockey Club,18,15,3,79,10,2017-2018,2,,
The Hong Kong Jockey Club D8,20,8,12,47,8,2018-2019,8,,
The Hong Kong Jockey Club D9,7,5,2,28,9,2019-2020,3,,
The Hong Kong Jockey Club Div 10,3,3,0,18,10,2024-2025,1,15.0,0.0
The Hong Kong Jockey Club Div 10,16,0,16,19,10,2023-2024,9,,
The Hong Kong Jockey Club Div 10,11,6,5,34,10,2021-2022,5,,
The Hong Kong Jockey Club Div 10,21,6,15,41,10,2022-2023,7,,
The Hong Kong Jockey Club M3,11,4,7,27,M3,2019-2020,10,,
The Hong Kong Jockey Club M4,16,11,5,69,M4,2018-2019,2,,
The Hong Kong Jockey Club M4,10,8,2,44,M4,2021-2022,2,,
The Hong Kong Jockey Club Master 3,21,18,3,96,M3,2016-2017,1,,
The Knockouts,17,3,14,10,16A,2016-2017,7,,
The New Generation,16,12,4,62,4,2016-2017,4,,
The New Generation X,21,8,13,55,4,2022-2023,5,,
The New Generation X,16,12,4,69,5,2018-2019,1,,
The New Generation X,11,6,5,32,4,2021-2022,5,,
The Squash Club,9,6,3,34,13B,2019-2020,4,,
The Squash Club,7,2,5,16,10,2019-2020,6,,
The Squash Club,10,3,7,26,12A,2019-2020,6,,
The Squash Club 1,22,9,13,63,7,2023-2024,7,,
The Squash Club 1,3,1,2,8,5,2024-2025,6,7.0,8.0
The Squash Club 1,18,14,4,81,7A,2017-2018,1,,
The Squash Club 1,16,0,16,11,5,2018-2019,9,,
The Squash Club 1,20,5,15,41,8A,2016-2017,5,,
The Squash Club 2,22,5,17,34,15,2023-2024,11,,
The Squash Club 2,18,18,0,102,13,2017-2018,1,,
The Squash Club 2,21,16,5,85,11A,2018-2019,1,,
The Squash Club 2,18,12,6,63,12B,2016-2017,2,,
The Squash Club 2,4,4,0,18,7B,2024-2025,1,14.0,6.0
The Squash Club 2,11,3,8,23,10,2021-2022,9,,
The Squash Club 3,18,10,8,58,13,2017-2018,4,,
The Squash Club 3,19,7,12,47,13,2016-2017,7,,
The Squash Club 3,4,2,2,14,11,2024-2025,4,12.0,8.0
The Squash Club 3,21,5,16,35,11B,2018-2019,7,,
The Squash Club 4,20,4,16,34,15A,2017-2018,7,,
The Squash Club 4,16,8,8,41,14,2018-2019,6,,
The Squash Club Ladies,18,2,16,11,L3,2023-2024,7,,
The Zero Squash Club 1,18,10,8,61,7B,2017-2018,3,,
The Zero Squash Club 1,18,10,8,46,8B,2016-2017,4,,
The Zero Squash Club 2,18,13,5,73,10,2017-2018,3,,
The Zero Squash Club 3,16,9,7,50,12A,2017-2018,4,,
The Zero Squash Club 3,18,15,3,83,12A,2016-2017,2,,
The Zero Squash Club 4,18,12,6,66,17B,2017-2018,4,,
The Zero Squash Club 5,22,20,2,111,19,2017-2018,1,,
The Zero Squash Club D10,22,17,5,95,10,2018-2019,2,,
The Zero Squash Club D12,18,11,7,54,12A,2018-2019,3,,
The Zero Squash Club D15,10,6,4,41,15,2019-2020,4,,
The Zero Squash Club D17,21,16,5,87,17B,2018-2019,3,,
The Zero Squash Club D17,11,10,1,50,17A,2019-2020,1,,
The Zero Squash Club D19,9,8,1,44,19B,2019-2020,1,,
The Zero Squash Club D19,21,18,3,92,19A,2018-2019,1,,
The Zero Squash Club D7,22,11,11,68,7,2018-2019,6,,
Titlows,16,0,16,1,4,2016-2017,9,,
Titlows Master,18,0,18,11,M2,2017-2018,7,,
Titlows Master,11,0,11,8,M3,2019-2020,12,,
Titlows Master,20,0,20,7,M2,2016-2017,6,,
Titlows Masters,18,6,12,47,M3,2018-2019,6,,
Titlows Squash Team,4,1,3,7,M3,2024-2025,8,6.0,14.0
Titlows Squash Team,21,0,21,15,M3,2022-2023,8,,
Titlows Squash Team,16,0,16,8,M2,2023-2024,9,,
Tomcat,18,7,11,41,7A,2016-2017,5,,
Tomcat,22,9,13,58,10,2018-2019,8,,
Tomcat,18,5,13,35,7A,2017-2018,7,,
Tuen Mun Squash Club,4,1,3,7,11,2024-2025,9,6.0,14.0
Tuen Mun Squash Club,22,13,9,72,15,2023-2024,6,,
Tuen Mun Squash Club,12,6,6,37,13A,2021-2022,4,,
Tuen Mun Squash Club,18,6,12,42,15A,2022-2023,5,,
Tuen Mun Squash Club 1,18,16,2,86,11,2016-2017,1,,
Tuen Mun Squash Club 1,22,0,22,21,7,2018-2019,12,,
Tuen Mun Squash Club 1,18,5,13,35,10,2017-2018,9,,
Tuen Mun Squash Club 1,9,3,6,21,11,2019-2020,8,,
Tuen Mun Squash Club 2,22,19,3,98,15,2016-2017,1,,
Tuen Mun Squash Club 2,20,18,2,105,14,2017-2018,1,,
Tuen Mun Squash Club 2,21,18,3,85,11B,2018-2019,2,,
Tuen Mun Squash Club 2,10,6,4,34,13A,2019-2020,3,,
Tuen Mun Squash Club 3,21,14,7,80,13B,2018-2019,4,,
Twister 1,22,11,11,65,7,2023-2024,5,,
Twister 1,11,1,10,13,7,2021-2022,9,,
Twister 1,20,3,17,30,9,2017-2018,6,,
Twister 1,21,13,8,68,9,2016-2017,3,,
Twister 1,22,17,5,93,7,2018-2019,3,,
Twister 1,10,2,8,14,6,2019-2020,9,,
Twister 1,18,6,12,41,8,2022-2023,9,,
Twister 2,21,8,13,48,10,2022-2023,6,,
Twister 2,16,7,9,41,10,2023-2024,5,,
Twister 2,5,0,5,4,7B,2024-2025,7,4.0,21.0
Twister 2,21,16,5,84,11A,2018-2019,2,,
Twister 2,11,4,7,29,10,2021-2022,8,,
Twister 2,18,12,6,67,11,2016-2017,3,,
Twister 2,8,3,5,20,9,2019-2020,6,,
Twister 2,21,19,2,103,12B,2017-2018,1,,
Twister 3,21,8,13,58,11B,2018-2019,5,,
Twister 3,9,6,3,36,13B,2019-2020,3,,
USRC - FWD 1,21,13,8,77,3,2018-2019,4,,
USRC M3,18,12,6,63,M3,2017-2018,2,,
USRC-FWD 1,18,4,14,34,3,2017-2018,6,,
UST,5,2,3,13,7A,2024-2025,3,11.0,14.0
Uncle,3,2,1,11,5,2024-2025,3,9.0,6.0
Unique Squash 1,18,0,18,-4,11,2016-2017,10,,
Unique Squash 2,14,1,13,-22,19,2016-2017,7,,
United,7,2,4,10,L2,2019-2020,5,,
United Services Recreation Club - FWD 1,8,6,2,31,3,2019-2020,4,,
United Services Recreation Club 1,4,2,2,14,4,2024-2025,4,12.0,8.0
United Services Recreation Club 1,21,1,20,22,4,2022-2023,7,,
United Services Recreation Club 1,10,0,10,6,4,2021-2022,9,,
United Services Recreation Club 1,16,10,6,54,5,2023-2024,4,,
United Services Recreation Club 2,11,6,5,35,7,2021-2022,5,,
United Services Recreation Club 2,21,18,3,101,10,2022-2023,1,,
United Services Recreation Club 2,16,9,7,55,8,2023-2024,4,,
United Services Recreation Club 2,4,4,0,20,6,2024-2025,2,16.0,4.0
United Services Recreation Club 2,11,10,1,50,7,2019-2020,1,,
United Services Recreation Club 2,22,15,7,84,7,2018-2019,4,,
United Services Recreation Club 2,18,10,8,60,4,2017-2018,4,,
United Services Recreation Club 2,21,15,6,86,5,2016-2017,1,,
United Services Recreation Club 3,18,12,6,65,15A,2022-2023,3,,
United Services Recreation Club 3,21,21,0,106,13A,2018-2019,1,,
United Services Recreation Club 3,4,3,1,16,10,2024-2025,2,13.0,7.0
United Services Recreation Club 3,22,18,4,96,15,2023-2024,2,,
United Services Recreation Club 3,18,3,15,17,8B,2016-2017,7,,
United Services Recreation Club 3,8,4,4,23,10,2019-2020,5,,
United Services Recreation Club 3,11,6,5,32,10,2021-2022,6,,
United Services Recreation Club 3,18,15,3,74,7A,2017-2018,3,,
United Services Recreation Club 4,9,2,7,13,12B,2021-2022,7,,
United Services Recreation Club 4,21,19,2,94,15A,2017-2018,2,,
United Services Recreation Club 4,3,1,2,5,15A,2024-2025,7,6.0,9.0
United Services Recreation Club 4,21,15,6,87,19A,2018-2019,2,,
United Services Recreation Club 4,22,4,18,35,19,2023-2024,12,,
United Services Recreation Club 4,9,7,2,39,18,2019-2020,2,,
United Services Recreation Club 4,18,6,12,41,19,2022-2023,6,,
United Services Recreation Club 5,22,12,10,81,15,2016-2017,5,,
United Services Recreation Club 5,8,0,8,8,19B,2021-2022,8,,
United Services Recreation Club 6,19,6,13,-4,16B,2016-2017,6,,
United Services Recreation Club M1 Cougars,20,11,9,51,M1,2018-2019,3,,
United Services Recreation Club M2,16,9,7,60,M2,2023-2024,3,,
United Services Recreation Club M2,18,6,12,45,M2,2018-2019,5,,
United Services Recreation Club M3,5,4,1,23,M3,2024-2025,1,19.0,6.0
United Services Recreation Club M3,16,8,8,45,M3,2023-2024,6,,
United Services Recreation Club M3,11,9,2,42,M3,2021-2022,2,,
United Services Recreation Club M3,11,7,4,37,M3,2019-2020,5,,
United Services Recreation Club M3,21,16,5,84,M3,2022-2023,2,,
United Services Recreation Club M4,5,4,1,21,M4,2024-2025,1,17.0,8.0
United Services Recreation Club M4,21,18,3,100,M4,2016-2017,1,,
United Services Recreation Club M4,18,8,10,59,M4,2022-2023,4,,
United Sports Association,10,6,4,26,17A,2021-2022,4,,
VISIONS,18,5,13,36,13,2017-2018,8,,
VISIONS,10,1,9,10,13B,2021-2022,6,,
Vicci's Balls,10,1,9,8,13B,2021-2022,7,,
Visions,20,7,13,34,13,2016-2017,10,,
Visions,8,2,6,16,13B,2019-2020,7,,
Visions,21,3,18,27,13A,2018-2019,7,,
Vitality Squash 1,18,12,6,58,6,2018-2019,5,,
Vitality Squash 1,16,8,8,49,11,2022-2023,3,,
Vitality Squash 1,18,11,7,63,11,2023-2024,3,,
Vitality Squash 1,17,2,15,14,13,2017-2018,10,,
Vitality Squash 1,11,4,7,28,12B,2019-2020,6,,
Vitality Squash 1,9,4,5,26,11,2021-2022,4,,
Vitality Squash 1,4,3,1,12,7A,2024-2025,4,9.0,11.0
Vitality Squash 2,21,13,8,73,17A,2023-2024,3,,
Vitality Squash 2,16,2,14,19,17B,2017-2018,8,,
Vitality Squash 2,3,0,3,5,8B,2024-2025,7,5.0,10.0
Vitality Squash 2,6,2,4,14,19A,2021-2022,6,,
Vitality Squash 2,18,3,15,11,12B,2018-2019,7,,
Vitality Squash 2,10,4,6,26,13B,2019-2020,6,,
Vitality Squash 2,18,8,10,51,17B,2022-2023,3,,
Vitality Squash 3,3,0,3,3,13A,2024-2025,12,3.0,12.0
Vitality Squash 3,21,2,19,20,18,2022-2023,8,,
Vitality Squash 3,22,6,16,39,18,2023-2024,10,,
Vitality Squash 3,21,3,18,6,13B,2018-2019,8,,
Vitality Squash 3,8,6,2,33,19B,2021-2022,1,,
Vitality Squash 3,7,6,1,35,19B,2019-2020,2,,
Vitality Squash 4,18,8,10,40,19,2022-2023,8,,
Vitality Squash 4,21,6,15,23,17A,2018-2019,7,,
Vitality Squash 5,22,3,19,14,18,2018-2019,12,,
Vitality Squash 6,18,1,17,-28,19B,2018-2019,7,,
Vocano,22,2,20,9,18,2017-2018,12,,
WAKO,4,2,2,14,M4,2024-2025,5,12.0,8.0
WAKO Masters,16,10,6,59,M4,2018-2019,5,,
WAKO Masters,10,9,1,48,M4,2021-2022,1,,
WAKO Masters,11,8,3,44,M4,2019-2020,3,,
WAKO Senior,21,14,7,80,M4,2016-2017,4,,
WAKO Senior,16,10,6,61,M4,2017-2018,4,,
WSC NOSET,18,1,17,13,7B,2017-2018,10,,
WSC NOSET,21,10,11,54,7B,2016-2017,5,,
WSC Noset,21,5,16,38,11B,2018-2019,6,,
WSC Noset,9,8,1,38,13A,2019-2020,2,,
Warriors 1,10,6,4,30,7,2019-2020,5,,
Warriors 2,9,8,1,39,12A,2019-2020,3,,
Warriors 3,11,9,2,49,17B,2019-2020,1,,
Winter Warriors,10,7,3,39,16,2019-2020,6,,
Winter Warriors,22,6,16,40,16,2018-2019,9,,
Winter Warriors,4,3,1,18,12,2024-2025,5,15.0,5.0
Winter Warriors,12,9,3,52,16,2021-2022,4,,
Winter Warriors,22,9,13,56,16,2023-2024,8,,
Winter Warriors,18,8,10,51,15B,2022-2023,5,,
X - Alpha,18,14,4,80,5,2022-2023,3,,
X-Alpha 1,4,4,0,21,4,2024-2025,1,17.0,3.0
X-Alpha 1,20,19,1,98,4,2023-2024,1,,
X-Alpha 2,16,13,3,72,5,2023-2024,2,,
X-Alpha 2,3,1,2,8,5,2024-2025,7,7.0,8.0
X-Alpha 3,5,3,2,18,7A,2024-2025,2,16.0,9.0
X-Alpha 3,22,10,12,63,7,2023-2024,6,,
X-Alpha 4,21,21,0,116,17A,2023-2024,1,,
X-Alpha 4,3,2,1,10,8B,2024-2025,3,8.0,7.0
X-Alpha 5,18,11,7,65,17B,2023-2024,3,,
X-Alpha 5,3,2,1,11,13B,2024-2025,4,9.0,6.0
X-Alpha 6,4,0,4,5,14,2024-2025,8,5.0,15.0
X-Alpha 6,22,10,12,53,19,2023-2024,7,,
Xavier,18,11,7,54,10,2017-2018,5,,
Xavier,22,4,18,46,10,2018-2019,11,,
Xavier,3,2,1,10,7B,2024-2025,4,8.0,7.0
Xavier,10,8,2,43,12A,2021-2022,1,,
Xavier,7,4,3,24,10,2019-2020,4,,
Xavier,16,13,3,73,12B,2022-2023,1,,
Xavier,18,15,3,82,11,2023-2024,1,,
Xavier,20,6,14,42,10,2016-2017,6,,
YLJR 1,16,4,12,32,7,2022-2023,8,,
YLJR 1,11,3,8,29,5,2021-2022,4,,
YLJR 1,22,8,14,53,7,2018-2019,9,,
YLJR 1,16,4,12,31,5,2023-2024,7,,
YLJR 2,10,7,3,39,12B,2021-2022,4,,
YLJR 2,18,17,1,91,12B,2023-2024,1,,
YLJR 2,18,7,11,48,12B,2018-2019,4,,
YLJR 2,18,4,14,32,12A,2022-2023,8,,
YLJR 3,11,7,4,41,17B,2021-2022,3,,
YLJR 3,21,14,7,86,17A,2018-2019,2,,
YLJR 3,18,4,14,31,19,2022-2023,9,,
Young Player 1,12,5,7,21,1,2016-2017,4,,
Young Player 1,16,7,9,30,1,2017-2018,3,,
Young Player 1A,9,3,6,12,1,2019-2020,5,,
Young Player 1A,20,6,14,25,1,2018-2019,6,,
Young Player 1A,8,3,5,11,1,2021-2022,4,,
Young Player 1A,16,6,10,28,1,2022-2023,4,,
Young Player 1B,9,4,5,15,1,2019-2020,3,,
Young Player 1B,16,9,7,33,1,2022-2023,3,,
Young Player 1B,8,5,3,20,1,2021-2022,2,,
Young Player 1B,20,13,7,45,1,2018-2019,2,,
Young Player 2,9,2,7,18,2,2021-2022,4,,
Young Player 2,15,9,6,47,2,2018-2019,2,,
Young Player 2,16,6,10,43,2,2022-2023,4,,
Young Player 2,16,4,12,21,1,2017-2018,5,,
Young Player 2,3,0,3,1,2,2024-2025,5,1.0,11.0
Young Player 2,16,3,13,27,2,2023-2024,4,,
Young Player 2,7,1,6,10,2,2019-2020,5,,
Young Player 2,12,6,6,25,1,2016-2017,2,,
Young Player 3,10,7,3,38,3,2019-2020,2,,
Young Player 3,21,14,7,82,3,2018-2019,2,,
Young Player 3,3,3,0,15,3,2024-2025,3,12.0,3.0
Young Player 3,16,6,10,38,3,2023-2024,5,,
Young Player 3,12,6,6,23,1,2016-2017,3,,
Young Player 3,9,9,0,43,3,2021-2022,1,,
Young Player 3A,16,5,11,34,3,2022-2023,4,,
Young Player 3B,16,9,7,54,3,2022-2023,2,,
Young Player 4,16,8,8,52,2,2017-2018,3,,
Young Player 4,20,13,7,67,2,2016-2017,3,,
Young Player 5,21,17,4,98,3,2016-2017,2,,
Young Player 5,18,12,6,67,3,2017-2018,3,,
Young Player L1,20,7,13,32,L1,2022-2023,4,,
Young Player L1,15,10,5,39,L1,2016-2017,3,,
Young Player L1,9,5,4,20,L1,2019-2020,3,,
Young Player L1,10,1,9,6,L1,2021-2022,6,,
Young Player L1A,16,11,5,39,L1,2017-2018,2,,
Young Player L1A,16,2,14,13,L1,2018-2019,5,,
Young Player L1B,16,7,9,25,L1,2017-2018,4,,
Young Player L1B,16,10,6,37,L1,2018-2019,3,,
Yuen Long District Sports Association Limited,3,1,2,6,13B,2024-2025,10,5.0,10.0
Yuen Long District Sports Association Limited,9,2,7,17,17A,2021-2022,6,,
Yuen Long District Sports Association Limited,18,2,16,26,17A,2022-2023,6,,
Yuen Long District Sports Association Limited,18,3,15,21,17B,2023-2024,6,,
Yuen Long JR 1,11,8,3,48,7,2019-2020,2,,
Yuen Long JR 2,11,3,8,19,12B,2019-2020,8,,
Yuen Long JR 2,18,16,2,83,17A,2017-2018,1,,
Yuen Long JR 3,9,6,3,37,18,2019-2020,4,,
Yuen Long Jr 1,18,9,9,45,7A,2017-2018,6,,
Yuen Long Jr 1,21,15,6,73,3,2016-2017,3,,
Yuen Long Jr 2,18,17,1,95,12A,2016-2017,1,,
Yuen Long Jr 3,16,7,9,47,17B,2016-2017,4,,
Yuen Long Jr 3,22,11,11,70,18,2017-2018,4,,
Yuen Long Jr 4,18,3,15,19,18B,2016-2017,7,,
Yuen Long Squash Club,9,2,7,17,7,2019-2020,10,,
Yuen Long Squash Club,18,9,9,56,7A,2016-2017,3,,
Yuen Long Squash Club,17,9,8,43,7B,2017-2018,7,,
ZOMA,5,1,4,10,12,2024-2025,9,9.0,16.0
ZOMA,10,3,7,21,15A,2021-2022,6,,
ZOMA,22,14,8,76,15,2018-2019,5,,
ZOMA,10,8,2,42,15,2019-2020,3,,
ZOMA,21,8,13,56,15A,2017-2018,5,,
ZOMA,20,14,6,78,16,2022-2023,4,,
ZOMA,22,16,6,82,16,2023-2024,4,,
ZOMA 1,18,10,8,58,12B,2016-2017,3,,
ZOMA 2,22,9,13,59,15,2016-2017,8,,
i-MASK Advance Squash Club 1,16,12,4,64,4,2016-2017,2,,
i-MASK Advance Squash Club 1,18,14,4,73,4,2017-2018,3,,
i-MASK Advance Squash Club 10,20,16,4,90,13,2016-2017,2,,
i-MASK Advance Squash Club 10,17,3,14,19,13,2017-2018,9,,
i-MASK Advance Squash Club 11,18,16,2,79,16A,2016-2017,2,,
i-MASK Advance Squash Club 11,20,10,10,69,14,2017-2018,5,,
i-MASK Advance Squash Club 12,16,11,5,68,17A,2016-2017,2,,
i-MASK Advance Squash Club 13,16,12,4,65,17B,2016-2017,3,,
i-MASK Advance Squash Club 14,18,6,12,44,18B,2016-2017,6,,
i-MASK Advance Squash Club 15,18,15,3,83,19,2016-2017,1,,
i-MASK Advance Squash Club 2,21,15,6,82,5,2016-2017,4,,
i-MASK Advance Squash Club 2,18,3,15,27,4,2017-2018,8,,
i-MASK Advance Squash Club 3,19,10,9,60,6,2016-2017,6,,
i-MASK Advance Squash Club 3,16,14,2,79,5,2017-2018,1,,
i-MASK Advance Squash Club 4,21,8,13,54,7B,2016-2017,6,,
i-MASK Advance Squash Club 5,18,16,2,82,7A,2016-2017,1,,
i-MASK Advance Squash Club 6,18,8,10,52,8B,2016-2017,3,,
i-MASK Advance Squash Club 6,20,20,0,105,9,2017-2018,1,,
i-MASK Advance Squash Club 7,22,13,9,67,11,2017-2018,5,,
i-MASK Advance Squash Club 7,21,18,3,91,10,2016-2017,2,,
i-MASK Advance Squash Club 8,18,9,9,42,11,2016-2017,6,,
i-MASK Advance Squash Club 8,16,13,3,62,12A,2017-2018,2,,
i-MASK Advance Squash Club 9,18,3,15,-1,12B,2017-2018,8,,
i-MASK Advance Squash Club 9,18,3,15,25,12A,2016-2017,6,,
i-Mask Advance Squash Club 1,16,7,9,43,7,2022-2023,4,,
i-Mask Advance Squash Club 1,16,6,10,41,5,2023-2024,6,,
i-Mask Advance Squash Club 1,3,0,3,3,5,2024-2025,10,3.0,12.0
i-Mask Advance Squash Club 1,11,9,2,47,6,2021-2022,1,,
i-Mask Advance Squash Club 1,8,0,8,5,3,2019-2020,6,,
i-Mask Advance Squash Club 1,21,3,18,31,3,2018-2019,7,,
i-Mask Advance Squash Club 10,8,4,4,26,14,2019-2020,5,,
i-Mask Advance Squash Club 10,16,7,9,43,14,2018-2019,5,,
i-Mask Advance Squash Club 11,22,20,2,102,16,2018-2019,2,,
i-Mask Advance Squash Club 11,11,5,6,39,17A,2019-2020,4,,
i-Mask Advance Squash Club 12,9,4,5,27,18,2019-2020,7,,
i-Mask Advance Squash Club 12,21,18,3,98,15A,2017-2018,1,,
